name,address,phone,latitude,longitude
(유)팔복현대서비스,전북특별자치도 전주시 덕진구 동곡로 25 (팔복동2가),063-211-9688,35.854827,127.093682
(유)평화점,전남광주통합특별시 목포시 평화로107번길 5(상동),061-284-8504,126.437789,34.798436
(유)현대자동차익산서비스,전북특별자치도 익산시 서동로 491 (용제동),063-837-7111,35.944281,127.001429
(자)신흥공업사,강원특별자치도 원주시 강변로 577 ,033-742-3533,37.354751,127.951697
(자)유승기업,대전광역시 서구 계룡로 510 (탄방동),042-523-0033,36.34341,127.380227
(주)가학점,"경기도 광명시 서독로 170, 1,2층(가학동)",02-2689-8278,126.858606,37.415522
(주)검단자동차,인천광역시 서구 단봉로 75 (왕길동),032-563-7500,126.643389,37.596742
(주)경기자동차,경기도 남양주시 진접읍 금강로 1943-11,031-528-0770,127.216667,37.754964
(주)고잔점,인천광역시 남동구 은청로 26-24(고잔동),032-813-8283,37.405482,126.694993
(주)고잔점,경기도 안산시 단원구 중앙대로 951 (고잔동),031-484-8572,37.31693,126.842103
(주)관악정비센터,서울특별시 관악구 봉천로 412 (봉천동),02-877-0024,126.945533,37.482528
(주)광양정비센터,전남광주통합특별시 광양시 광양읍 해광로 888,061-761-2222,127.582003,34.963653
(주)구미현대서비스,경상북도 구미시 비산로 45 (비산동),054-464-3300,36.120194,128.376718
(주)구산점,서울특별시 은평구 서오릉로 239 (구산동),02-363-8204,126.907697,37.615911
(주)궁내점,경기도 성남시 분당구 대왕판교로 301 (궁내동),031-712-6073,127.101314,37.370736
(주)금흥점,충청남도 공주시 한적2길 52-7(금흥동),041-855-3308,127.140447,36.479097
(주)김포카독크,경기도 김포시 조리미로 17 (사우동),031-983-4891,126.724014,37.615164
(주)남동서비스,인천광역시 남동구 논현고잔로88번길 16(고잔동),032-446-2215,37.390595,126.713151
(주)남부현대서비스,충청남도 서산시 남부순환로 20-8 (수석동),041-668-1188,36.75368,126.494351
(주)남진주현대서비스,경상남도 진주시 정촌면 연꽃로 60 .,055-762-5000,35.117611,128.098292
(주)네바퀴사랑,인천광역시 서구 방축로 335 (가좌동),032-584-0180,37.474486,126.680663
(주)논현점,인천광역시 남동구 은봉로312번길 29-2 (논현동),032-441-2350,37.404377,126.72512
(주)달성현대서비스,대구광역시 달성군 논공읍 비슬로350길 4-5,053-636-3100,35.771252,128.416882
(주)대광현대서비스,경기도 여주시 가남읍 여주남로 755 1층,031-881-1079,127.574878,37.23415
(주)동김천현대서비스,경상북도 김천시 혁신로 316-17,054-434-7757,36.128869,128.182755
(주)동부현대모터스,경기도 광주시 중앙로 21 (쌍령동),031-764-8181,37.406042,127.265683
(주)동부현대서비스,충청남도 천안시 동남구 목천읍 신계2길 12-11,041-522-1110,36.770398,127.20248
(주)동빙고점,서울특별시 용산구 서빙고로 303 ( 동빙고동),02-792-0300,126.99705,37.521503
(주)동양모터스,충청남도 당진시 송악읍 대섬길 228,041-357-6811,126.747486,36.975717
(주)범어점,경상남도 양산시 물금읍 서남3길 11,055-385-3377,129.000758,35.327206
(주)봉천점,"서울특별시 관악구 남부순환로 1686, 지상1층(신림동)",02-876-8204,37.483856,126.937608
(주)부산정비,부산광역시 사하구 장림동 1050,051-263-2111,128.978825,35.084167
(주)부여점,충청남도 부여군 부여읍 성왕로 369,041-832-3233,36.284251,126.928067
(주)산지공업사,제주특별자치도 제주시 선반로 62 (화북일동),064-758-7182,33.515035,126.564171
(주)삼공사,인천광역시 동구 중봉대로 73 ,032-773-5544,126.644625,37.486536
(주)삼일 이알씨,경상북도 포항시 남구 철강로 159 (장흥동),054-285-3030,129.359042,35.988619
(주)상동점,경기도 부천시 원미구 장말로 174 ,032-611-5400,37.493105,126.761143
(주)서대전현대서비스,대전광역시 서구 가수원로 103-13 (가수원동),042-534-8400,127.348622,36.30315
(주)서림점,서울특별시 관악구 신림로 171 금원프라자1층(서림동),02-888-4700,37.474403,126.934073
(주)석림점,충청남도 서산시 서해로 3447 (석림동),041-665-9761,36.772326,126.460298
