name,address,phone,latitude,longitude
마이스터모터스,서울특별시 강남구 역삼로 557,02-511-2822,37.5051273566235,127.064032212991
마이스터모터스,서울특별시 강북구 솔샘로 331,02-320-9690,37.6173909927163,127.029101169909
지오 하우스,광주광역시 남구 송암로 32,062-351-9504,35.1087847666692,126.879132531762
마이스터모터스,서울시 구로구 천왕로 3길 12,02-2135-3450,37.4868831088656,126.838177433014
클라쎄오토,경기도 구리시 벌말로 84,031-563-0090,37.584118057101,127.147267549206
지엔비 오토모빌,대구광역시 수성구 동대구로 35,053-767-6116,35.8333967062414,128.622929028709
지엔비 오토모빌,대구광역시 서구 문화로 42(이현동),053-567-3200,35.8740002324981,128.537228868503
아우토플라츠,대전광역시 대덕구 대덕대로1409번길 1,042-867-8282,36.4461516738277,127.405531337712
클라쎄오토,부산광역시 남구 지게골로 43-16,051-646-8888,35.1359104381772,129.07093793826
클라쎄오토,서울특별시 성동구 광나루로6길 46(성수동2가),02-516-0070,37.5458911759521,127.063935120528
클라쎄오토,경기도 용인시 기흥구 중부대로 56번길 8,031-284-3033,37.2664760311963,127.074574219128
지오 하우스,전라남도 순천시 해룡면 해광로 184,061-725-9504,34.9248052602956,127.552722907963
아우토플라츠,경기도 안양시 동안구 벌말로102번길 54,031-360-0801,37.3977071079691,126.971808980946
마이스터모터스,서울특별시 강서구 양천로77길 7,02-3663-0900,37.5497891210434,126.876517420663
클라쎄오토,서울특별시 용산구 한강대로 257,02-2057-4000,37.5412451461454,126.972556141214
아우토플라츠,강원 원주시 북원여중길 2(태장동),033-737-6555,37.3690451058968,127.101260278314
마이스터모터스,인천광역시 남동구 인주대로 646,032-471-0756,37.4493860516768,126.708766082459
클라쎄오토,경기도 고양시 일산동구 무궁화로 337,031-932-7755,37.6771654334862,126.796403265999
지오 하우스,전라북도 전주시 덕진구 추천로 47-59,063-544-3311,35.8453196932638,127.100892139227
지오 하우스,제주시 청풍남 8길 56,064-744-0007,33.5145465252979,126.571542783608
지엔비 오토모빌,경남 창원시 마산합포구 해안대로 228,055-245-8383,35.1946220635318,128.570031683474
아우토플라츠,충청남도 천안시 서북구 한들1로 120,041-571-9994,36.8326549232163,127.118868966841
아우토플라츠,충청북도 청주시 흥덕구 신성로 6-16,043-223-0744,36.6503768428503,127.422082240539
아우토플라츠,경기도 성남시 분당구 대왕판교로 283(궁내동),031-696-0177,37.3690417658138,127.101267611851
지엔비 오토모빌,경상북도 포항시 북구 흥해읍 소티재로 422-6,054-254-5001,36.0867179099838,129.341818245218
아우토플라츠,경기도 하남시 감초로 184번길 30 (초이동),02-3427-3300,37.52817567391,127.165399247829
클라쎄오토,부산광역시 해운대구 우동1로 15,051-741-1100,35.1632477713911,129.155776104582
