manufacturer,model_name,production_start,production_end,recall_start_date,recall_count,recall_reason
벤츠,ML280 CDI,2006-04-18,2009-03-18,2012-01-09,529,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장"
벤츠,E220 CDI,2006-07-04,2009-01-15,2012-01-09,717,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장"
벤츠,S350 BLUETEC,2010-08-05,2011-02-02,2012-01-09,75,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장"
벤츠,ML300 CDI,2009-07-15,2011-04-06,2012-01-09,554,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장"
벤츠,C220 CDI,2007-01-03,2008-12-15,2012-01-09,549,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장"
비엠더블유,Cooper S,2007-03-01,2011-01-18,2012-02-10,2231,압축된 공기를 강제로 엔진에 넣어 출력을 향상 시켜주는 터보의 냉각펌프 제어장치 결함으로 냉각펌프에 화재가 발생하여 안전운행에 지장
벤츠,C220 CDI,2009-05-06,2011-04-27,2012-02-20,446,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장"
벤츠,E220 CDI,2009-03-08,2011-03-06,2012-02-20,738,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장"
벤츠,GLK220 CDI,2009-06-05,2011-05-31,2012-02-20,1214,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장"
현대자동차,트라고,2011-03-07,2011-06-25,2012-03-07,362,슬리핑 베드 내부 패드의 난연성(難燃性)이 안전기준에 부적합
현대자동차,메가트럭와이드캡,2011-03-07,2011-06-25,2012-03-07,21,슬리핑 베드 내부 패드의 난연성(難燃性)이 안전기준에 부적합
현대자동차,뉴파워트럭,2011-03-07,2011-06-25,2012-03-07,32,슬리핑 베드 내부 패드의 난연성(難燃性)이 안전기준에 부적합
현대자동차,벨로스터,2011-05-15,2011-07-03,2012-03-07,979,좌석 시트커버의 난연성(難燃性)이 안전기준에 부적합
현대자동차,엑센트,2010-11-16,2011-05-14,2012-03-07,7238,정면충돌 시 배터리 전기배선 손상으로 전기합선에 의한 화재가 발생할 가능성으로 안전운행에 지장
비엠더블유,528i,2007-03-08,2009-08-26,2012-04-13,20,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,650i,2005-09-19,2010-03-24,2012-04-13,63,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,523i,2005-02-18,2007-02-23,2012-04-13,2957,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,550i,2005-03-17,2006-12-20,2012-04-13,20,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,535d,2005-07-12,2009-04-27,2012-04-13,26,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,535xi,2008-05-29,2009-10-05,2012-04-13,2,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,M6,2008-07-22,2009-02-02,2012-04-13,18,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,520i,2003-08-28,2009-09-23,2012-04-13,2332,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,525i,2003-09-09,2009-12-17,2012-04-13,12423,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,M5,2005-07-25,2008-09-15,2012-04-13,65,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,525d,2004-04-21,2007-04-04,2012-04-13,2,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,645Ci,2004-03-01,2005-08-23,2012-04-13,49,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,535i,2007-06-25,2008-09-10,2012-04-13,6,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,530i,2003-04-08,2009-09-23,2012-04-13,1170,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,545i,2005-10-23,2008-10-15,2012-04-13,33,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,528xi,2007-05-30,2009-01-12,2012-04-13,3,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,520d,2008-04-15,2009-12-05,2012-04-13,582,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,525xi,2005-06-21,2006-09-06,2012-04-13,3,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,530xi,2005-06-01,2006-10-09,2012-04-13,5,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,530d,2006-02-28,2006-11-30,2012-04-13,2,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유,760Li,2011-05-06,2011-05-06,2012-05-04,28,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장
비엠더블유,550iX,2011-04-26,2011-05-02,2012-05-04,6,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장
비엠더블유,Rolls-Royce GHOST,2011-04-15,2011-04-20,2012-05-04,2,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장
비엠더블유,Mini Cooper S,2011-03-31,2011-04-22,2012-05-04,100,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장
비엠더블유,X6,2011-05-23,2011-06-15,2012-05-04,3,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장
비엠더블유,X6M,2011-05-23,2011-06-15,2012-05-04,3,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장
비엠더블유,X5M,2011-05-25,2011-05-26,2012-05-04,2,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장
비엠더블유,650i,2011-04-11,2011-04-21,2012-05-04,3,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장
비엠더블유,750LiX,2011-04-11,2011-04-27,2012-05-04,4,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장
벤츠,B200,2011-02-21,2011-03-29,2012-05-07,8,변속기(CVT) 결함으로 가속이 되지않는 등 운전자의 의도대로 작동이 되지않아 안전운행에 지장
폭스바겐그룹,CC2.0TDI,2011-03-31,2011-08-25,2012-06-01,729,연료 내 이물질을 걸러주는 연료필터 불량으로 운행 중 연료가 누유 되어 화재가 발생할 수 있어 안전운행에 지장
폭스바겐그룹,Tiguan2.0TDI,2011-03-25,2011-09-20,2012-06-01,382,연료 내 이물질을 걸러주는 연료필터 불량으로 운행 중 연료가 누유 되어 화재가 발생할 수 있어 안전운행에 지장
기아,모하비,2008-05-02,2009-07-13,2012-06-04,3182,설정속도(약64km/h) 이상에서 충돌 사고 시 운전자의 발목 부상을 줄이기 위해 브레이크 페달이 파손되게 제작되었으나 설정속도 이하 충돌 사고 시에도 파손되어 제동불량으로 2차 사고의 가능성으로 안전운행에 지장
비엠더블유,X5,2012-05-04,2012-05-25,2012-07-13,17,파워핸들 기어박스에서 오일이 누유되어 주행중 핸들이 무거워지거나 화재의 위험이 있어 안전운행에 지장
비엠더블유,X6,2012-04-24,2012-05-24,2012-07-13,33,파워핸들 기어박스에서 오일이 누유되어 주행중 핸들이 무거워지거나 화재의 위험이 있어 안전운행에 지장
비엠더블유,120d,2011-06-25,2011-11-30,2012-08-03,7,전기식 파워핸들 결함으로 주행 중 갑자기 핸들이 무거워져 안전운행에 지장
비엠더블유,Z4,2011-11-24,2011-12-02,2012-08-03,6,전기식 파워핸들 결함으로 주행 중 갑자기 핸들이 무거워져 안전운행에 지장
폭스바겐그룹,Q5,2011-06-21,2011-12-09,2012-08-07,571,선루프 유리가 영하20도 정도에서 외부의 충격이 없는 경우에도 갑자기 깨질 수 있어 안전운행에 지장
비엠더블유,M6,2012-07-24,2012-09-04,2012-10-19,10,엔진오일 펌프의 제작결함으로 엔진오일이 충분이 공급되지 않아 운행 중 시동이 꺼져 안전운행에 지장
비엠더블유,M5,2012-07-24,2012-09-04,2012-10-19,10,엔진오일 펌프의 제작결함으로 엔진오일이 충분이 공급되지 않아 운행 중 시동이 꺼져 안전운행에 지장
벤츠,CLS350,2011-12-01,2011-12-05,2012-12-03,7,엔진후드의 보조 걸쇠 볼트를 규정보다 작게 조립하여 운행중 엔진 후드가 열려 안전운행에 지장
현대자동차,벨로스터,2011-04-13,2012-02-25,2012-12-17,211,후륜 주차브레이크의 작동케이블과 브레이크 캘리퍼 연결부위 부식으로 인해 경사로 주차 시 차량이 뒤로 밀릴 수 있어 안전운행에 지장
현대자동차,벨로스터,2011-11-01,2012-04-17,2012-12-17,1297,파노라마 선루프를 장착하는 과정에서 발생한 미세한 선루프 균열로 주행 중 선루프 유리가 깨질 수 있어 안전운행에 지장
기아,모닝,2011-01-17,2012-03-29,2012-12-17,259,후륜 주차브레이크의 작동케이블과 브레이크 캘리퍼 연결부위 부식으로 인해 경사로 주차 시 차량이 뒤로 밀릴 수 있어 안전운행에 지장
비엠더블유,X5,2006-12-11,2010-02-19,2012-12-17,1579,벨트를 걸어 회전시켜주는 팬벨트 풀리의 고정 볼트결함으로 운행 중 풀리가 고정되지 않고 풀릴 수 있고 이 경우 팬벨트가 파워핸들 유압펌프를 회전시키지 못해 주행 중 핸들이 무거워질 수 있어 안전운행에 지장
비엠더블유,X6,2008-04-03,2010-02-22,2012-12-17,616,벨트를 걸어 회전시켜주는 팬벨트 풀리의 고정 볼트결함으로 운행 중 풀리가 고정되지 않고 풀릴 수 있고 이 경우 팬벨트가 파워핸들 유압펌프를 회전시키지 못해 주행 중 핸들이 무거워질 수 있어 안전운행에 지장
벤츠,C220 CDI,2011-08-10,2011-12-12,2013-01-14,181,엔진의 흡기호스에 균열이 발생하여 엔진의 출력 또는 회전수가 제한되거나 주행 중 시동이 꺼질 수 있어 안전운행에 지장
벤츠,E220 CDI,2011-08-10,2011-12-12,2013-01-14,244,엔진의 흡기호스에 균열이 발생하여 엔진의 출력 또는 회전수가 제한되거나 주행 중 시동이 꺼질 수 있어 안전운행에 지장
비엠더블유,X5,2007-03-20,2009-12-14,2013-03-08,126,"엔진오일이 브레이크 부스터 내로 유입되어 부스터의 기능이 저하되어 브레이크 페달이 딱딱해 지고, 제동거리가 길어질 수 있어 안전운행에 지장"
비엠더블유,Active E,2012-02-23,2012-02-23,2013-03-08,2,전기모터 구동축 가스켓 실링 결함으로 윤활용 그리스가 누유되는 경우 구동축 기어가 손상되어 전기모터가 구동되지 않아 주행 중 차량이 정지될 수 있어 안전운행에 지장
벤츠,S500 4MATIC,2011-04-18,2011-07-12,2013-03-25,25,연료의 이물질을 걸러주는 연료필터에서 연료가 누유 되어 운행 중 누유 된 연료에 화재가 발생할 수 있어 안전운행에 지장
벤츠,S500,2011-04-18,2011-07-12,2013-03-25,31,연료의 이물질을 걸러주는 연료필터에서 연료가 누유 되어 운행 중 누유 된 연료에 화재가 발생할 수 있어 안전운행에 지장
벤츠,S350,2011-04-18,2011-07-12,2013-03-25,39,연료의 이물질을 걸러주는 연료필터에서 연료가 누유 되어 운행 중 누유 된 연료에 화재가 발생할 수 있어 안전운행에 지장
현대자동차,베라크루즈,2008-09-01,2008-11-30,2013-04-11,2021,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
현대자동차,싼타페,2010-06-01,2011-06-30,2013-04-11,33667,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
현대자동차,아반떼,2009-07-10,2010-03-31,2013-04-11,79638,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
기아,쏘울,2010-06-01,2011-06-14,2013-04-11,22977,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
기아,카렌스,2010-06-01,2010-07-30,2013-04-11,785,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
기아,쏘렌토,2010-10-01,2011-04-10,2013-04-11,23421,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
폭스바겐그룹,JETTA 1.6 TDI BMT,2011-02-17,2011-08-25,2013-06-24,482,자동변속기 내 변속제어장치 결함으로 엔진의 동력이 타이어로 전달되지 않아 정상적인 주행이 되지않아 안전운행에 지장
폭스바겐그룹,GOLF 1.6 TDI BMT,2010-05-31,2011-08-27,2013-06-24,1078,자동변속기 내 변속제어장치 결함으로 엔진의 동력이 타이어로 전달되지 않아 정상적인 주행이 되지않아 안전운행에 지장
폭스바겐그룹,GOLF 1.4 TSI,2010-10-28,2011-07-07,2013-06-24,370,자동변속기 내 변속제어장치 결함으로 엔진의 동력이 타이어로 전달되지 않아 정상적인 주행이 되지않아 안전운행에 지장
비엠더블유,M3,2002-03-11,2002-10-24,2013-09-13,8,에어백 작동 시 에어백을 부풀게 하는 팽창장치결함으로 에어백이 정상적으로 부풀지 않아 안전운행에 지장
비엠더블유,325xi,2002-03-23,2002-03-23,2013-09-13,1,에어백 작동 시 에어백을 부풀게 하는 팽창장치결함으로 에어백이 정상적으로 부풀지 않아 안전운행에 지장
비엠더블유,120d,2009-07-03,2009-09-25,2013-09-13,47,"겨울철 연료를 예열해 주는 히터(연료필터 내부에 장착)를 작동시키는 전기접점이 습기에 의한 고장으로 꺼지지 않아 배터리가 방전되어 시동이 걸리지 않거나, 과열로 화재가 발생될 가능성이 있어 안전운행에 지장"
비엠더블유,x6 30d,2009-06-15,2009-10-27,2013-09-13,204,"겨울철 연료를 예열해 주는 히터(연료필터 내부에 장착)를 작동시키는 전기접점이 습기에 의한 고장으로 꺼지지 않아 배터리가 방전되어 시동이 걸리지 않거나, 과열로 화재가 발생될 가능성이 있어 안전운행에 지장"
비엠더블유,x5 30d,2009-06-17,2009-11-05,2013-09-13,131,"겨울철 연료를 예열해 주는 히터(연료필터 내부에 장착)를 작동시키는 전기접점이 습기에 의한 고장으로 꺼지지 않아 배터리가 방전되어 시동이 걸리지 않거나, 과열로 화재가 발생될 가능성이 있어 안전운행에 지장"
비엠더블유,520d,2009-05-13,2009-11-19,2013-09-13,341,"겨울철 연료를 예열해 주는 히터(연료필터 내부에 장착)를 작동시키는 전기접점이 습기에 의한 고장으로 꺼지지 않아 배터리가 방전되어 시동이 걸리지 않거나, 과열로 화재가 발생될 가능성이 있어 안전운행에 지장"
비엠더블유,x3 20d,2009-05-19,2009-11-13,2013-09-13,67,"겨울철 연료를 예열해 주는 히터(연료필터 내부에 장착)를 작동시키는 전기접점이 습기에 의한 고장으로 꺼지지 않아 배터리가 방전되어 시동이 걸리지 않거나, 과열로 화재가 발생될 가능성이 있어 안전운행에 지장"
비엠더블유,330i,2002-01-10,2002-11-22,2013-09-13,29,에어백 작동 시 에어백을 부풀게 하는 팽창장치결함으로 에어백이 정상적으로 부풀지 않아 안전운행에 지장
비엠더블유,320i,2002-01-14,2002-11-05,2013-09-13,199,에어백 작동 시 에어백을 부풀게 하는 팽창장치결함으로 에어백이 정상적으로 부풀지 않아 안전운행에 지장
비엠더블유,318i,2002-01-14,2002-07-05,2013-09-13,236,에어백 작동 시 에어백을 부풀게 하는 팽창장치결함으로 에어백이 정상적으로 부풀지 않아 안전운행에 지장
비엠더블유,325i,2002-01-23,2002-11-04,2013-09-13,36,에어백 작동 시 에어백을 부풀게 하는 팽창장치결함으로 에어백이 정상적으로 부풀지 않아 안전운행에 지장
비엠더블유,325ci,2002-02-18,2002-11-13,2013-09-13,30,에어백 작동 시 에어백을 부풀게 하는 팽창장치결함으로 에어백이 정상적으로 부풀지 않아 안전운행에 지장
