name,address,phone,latitude,longitude,company
김포 김포 서비스센터,경기도 김포시 양촌읍 김포한강4로 236,031-991-9700,37.650641,126.657018,벤츠
분당 백현 일반정비 팩토리,성남시 분당구 대왕판교로385번길 13,031-779-7000,37.37769,127.100628,벤츠
동탄 동탄 서비스센터,경기도 화성시 동탄순환대로  792,031-880-0288,37.209763,127.101244,벤츠
영등포 서비스센터,서울특별시 영등포구 당산로 42,02-865-1400,37.518171,126.895916,벤츠
강릉 강릉 서비스센터,강릉시 율곡로 3091,033-923-7001,37.776883,128.885571,벤츠
목포 목포 서비스센터,목포시 삼학로 171,061-241-8955,34.787855,126.402603,벤츠
용산 청파 서비스센터,서울특별시  용산구 청파로61길 5,02-701-9500,37.547429,126.969713,벤츠
수원 권선 서비스센터,수원시 권선구 경수대로 123,031-8092-8100,37.238781,127.0184,벤츠
신사 서비스센터,서울특별시 강남구 도산대로  173,02-540-7900,37.519978,127.027775,벤츠
하남 서비스센터 / 인증 중고차 하남,경기도 하남시 감초로 188,02-3433-1900,37.529647,127.165664,벤츠
대구 수성 서비스센터,대구 희망로 211,053-766-6636,35.846466,128.621931,벤츠
청주 청주 오송 서비스센터,청주시 흥덕구 가로수로 236,043-820-9090,36.612361,127.330201,벤츠
방배 서비스센터,서울시 서초구 남부순환로 2230,02-3489-3300,37.473403,126.996003,벤츠
마이바흐 브랜드센터 서울,서울시 강남구 압구정로 425,02-519-5610,37.52752,127.043847,벤츠
구미 구미 서비스센터,구미시 야은로 672,054-443-9950,36.127187,128.354062,벤츠
해운대 서비스센터,부산광역시 해운대구 해운대로  287,016882369,35.174841,129.131628,벤츠
전주 전주 서비스센터 / 인증 중고차 전주,전라북도 전주시 덕진구 온고을로  468,063-226-8955,35.851863,127.078503,벤츠
도곡 서비스센터,서울특별시 강남구 남부순환로 365길  9,02-575-7340,37.486102,127.039007,벤츠
마산 마산 서비스센터,경상남도 창원시 마산합포구 해안대로 262,018993617,35.197267,128.570982,벤츠
광주 화정 서비스센터,광주광역시 서구 상무대로  1041,062-376-2556,35.152052,126.875826,벤츠
서초 서비스센터,서울특별시 서초구 효령로 55길 65,02-3488-2400,37.487647,127.013978,벤츠
방배 방배 내방 서비스센터,서울특별시 서초구 방배로 137,02-580-0810,37.48615,126.994506,벤츠
송파 서비스센터,서울특별시 송파구 정의로 8길 6,02-2152-3333,37.485794,127.116161,벤츠
포항 서비스센터,포항시 북구 새천년대로 1414,054-256-9004,36.076399,129.400851,벤츠
강서 목동 강서 목동 서비스센터,서울특별시 강서구 공항대로 665,02-6355-0100,37.548186,126.878028,벤츠
안양 평촌 서비스센터,경기도 안양시 동안구 흥안대로 427번길  73,031-596-2600,37.392003,126.970431,벤츠
진주 서비스센터,진주시 모덕로 24,018993617,35.18141,128.100383,벤츠
분당 백현 서비스센터,경기도 성남시 분당구 대왕판교로 364,031-779-7000,37.37635,127.10226,벤츠
율현 서비스센터,서울특별시 헌릉로745길 10,02-6005-8100,37.468406,127.120082,벤츠
성산 서비스센터 / 인증 중고차 성산,서울특별시 마포구 모래내로  17,02-309-3421,37.564438,126.904937,벤츠
울산 서비스센터,울산광역시 남구 남중로 74번길  19,016882369,35.540992,129.349843,벤츠
성동 서비스센터,서울특별시 성동구 자동차시장1길 104-65,02-2244-5578,37.559306,127.068481,벤츠
인천 서비스센터,인천광역시 중구 축항대로 86번길  56,032-770-7700,37.451962,126.604066,벤츠
일산 서비스센터,경기도 고양시 일산서구 법곳길  82,031-905-5588,37.665369,126.727939,벤츠
남천 남천 서비스센터 / 인증 중고차 남천,부산광역시 수영구 수영로  434,051-750-2800,35.14451,129.109814,벤츠
사상 사상 서비스센터,부산광역시 사상구 가야대로  45,051-323-3421,35.151878,128.977628,벤츠
청주 서비스센터,충청북도 청주시 서원구 남이면 2순환로  1728,043-299-9090,36.596836,127.469611,벤츠
동대문 동대문 서비스센터,서울특별시 성동구 천호대로 360,02-2216-6500,37.562219,127.058893,벤츠
논현 서비스센터,서울특별시 강남구 언주로 617,02-550-2100,37.511433,127.035769,벤츠
대전 서비스센터,대전광역시 대덕구 신탄진로 583번길 11,042-606-3000,36.431038,127.42163,벤츠
수원 수원 서비스센터 / 인증 중고차 수원,경기도 용인시 기흥구 중부대로  23-2,031-740-5100,37.268606,127.071519,벤츠
대구 북구 서비스센터,대구광역시 북구 노원로 1길  1,05513333,35.890705,128.562493,벤츠
대구 황금 서비스센터,대구광역시 수성구 동대구로  150,053-764-1200,35.843825,128.624828,벤츠
천안 천안 서비스센터,충청남도 천안시 서북구 번영로  547,041-620-7070,36.848911,127.123091,벤츠
부산 북구 부산 북구 서비스센터,부산광역시 북구 금곡대로 66-11,051-678-7800,35.2158,129.005336,벤츠
대전 유성 서비스센터,대전광역시 유성구 북유성대로 352,042-359-6100,36.395724,127.31291,벤츠
제주 제주 서비스센터,제주특별자치도 제주시 연삼로 101,064-800-9898,33.493656,126.503445,벤츠
의정부 의정부 서비스센터,경기도 의정부시 시민로  309,031-841-5588,37.73746,127.069018,벤츠
창원 창원 서비스센터 / 인증 중고차 창원,경상남도 창원시 성산구 해원로 374번길  6,018993617,35.184531,128.704861,벤츠
금정 금정 서비스센터,부산광역시 금정구 중앙대로  1912,016882369,35.254995,129.091728,벤츠
군산 군산 서비스센터,전라북도 군산시 백릉 3길 2,063-443-8955,35.971367,126.7299,벤츠
순천 순천 서비스센터 / 인증 중고차 순천,전라남도 순천시 해룡면 지봉로 237,061-900-8600,34.935127,127.538676,벤츠
죽전 서비스센터 / 인증 중고차 죽전,경기도 용인시 수지구 용구대로  2749,031-786-6100,37.331049,127.10854,벤츠
삼성 서비스센터,서울특별시 강남구 봉은사로  418,02-6177-2000,37.510473,127.045965,벤츠
인천 서구 서비스센터,인천광역시 서구 북항로 178번길 4,032-200-7000,37.507154,126.628702,벤츠
파주 파주 서비스센터,경기도 파주시 파주읍 센트럴산단로  10-26,031-972-5588,37.816572,126.793583,벤츠
금천 금천 서비스센터,서울특별시 금천구 시흥대로  173,02-807-2400,37.449326,126.902231,벤츠
안성 안성 서비스센터,경기도 안성시 공도읍 서동대로   3972,031-8094-6100,36.997379,127.147317,벤츠
내곡 서비스센터,경기도 고양시 덕양구 호수로  231,031-974-5588,37.630521,126.7956,벤츠
구리 구리 서비스센터,경기도 구리시 한다리길 13,031-579-0970,37.580737,127.128051,벤츠
부천 부천 서비스센터,경기도 부천시 원미구 길주로  443,032-713-4533,37.50473,126.791491,벤츠
대구 서구 대구 서구 서비스센터 / 인증 중고차 대구 서구,대구광역시 서구 와룡로  427,053-552-9001,35.871292,128.53798,벤츠
광주 수완 광주 수완 서비스센터 / 인증 중고차 광주 수완,광주광역시 광산구 임방울대로  565,062-961-0090,35.208589,126.823399,벤츠
양재 서비스센터,서울특별시 서초구 바우뫼로  207,02-6200-0500,37.480808,127.041467,벤츠
중랑 중랑 서비스센터,서울특별시 중랑구 동일로  834,02-2013-7300,37.604925,127.079103,벤츠
춘천 춘천 서비스센터,강원도 춘천시 춘주로 68,033-903-5100,37.863234,127.717306,벤츠
고양 고양 서비스센터,경기도 고양시 덕양구 의장로 110,031-966-2222,37.633549,126.873333,벤츠
한남 한남 서비스센터,서울특별시 용산구 한남대로 142,02-6328-7500,37.540957,127.003979,벤츠
도봉 서비스센터,서울특별시 도봉구 마들로 18길 9,02-6678-7575,37.662062,127.047412,벤츠
인증 중고차 원주 원주 서비스센터,원주시 강변로 579,033-903-7070,37.355454,127.951582,벤츠
