센터코드,센터명,센터종류,주소,전화번호,위도,경도,전기차수리,수소차수리
J1Z008,(유)팔복현대서비스,종합블루핸즈,전북특별자치도 전주시 덕진구 동곡로 25 (팔복동2가),063 2119688,35.854827,127.093682,Y,Y
L1M008,(유)평화점,전문블루핸즈,전남광주통합특별시 목포시 평화로107번길 5(상동),061 2848504,126.437789,34.798436,N,N
J01K45,(유)현대자동차익산서비스,종합블루핸즈,전북특별자치도 익산시 서동로 491 (용제동),063 8377111,35.944281,127.001429,Y,Y
B03S17,(자)신흥공업사,종합블루핸즈,강원특별자치도 원주시 강변로 577 ,033 7423533,37.354751,127.951697,N,Y
I01G42,(자)유승기업,종합블루핸즈,대전광역시 서구 계룡로 510 (탄방동),042 5230033,36.34341,127.380227,Y,Y
E5M008,(주)가학점,전문블루핸즈,"경기도 광명시 서독로 170, 1,2층(가학동)", 0226898278,126.858606,37.415522,N,N
Z21Z32,(주)검단자동차,종합블루핸즈,인천광역시 서구 단봉로 75 (왕길동),032 5637500,126.643389,37.596742,Y,N
Z12Z66,(주)경기자동차,종합블루핸즈,경기도 남양주시 진접읍 금강로 1943-11,031 5280770,127.216667,37.754964,N,N
D1M007,(주)고잔점,전문블루핸즈,인천광역시 남동구 은청로 26-24(고잔동),032 8138283,37.405482,126.694993,N,N
E05DP4,(주)고잔점,전문블루핸즈,경기도 안산시 단원구 중앙대로 951 (고잔동),031 4848572,37.31693,126.842103,N,N
B4Z003,(주)관악정비센터,종합블루핸즈,서울특별시 관악구 봉천로 412 (봉천동), 02 8770024,126.945533,37.482528,N,N
L3Z001,(주)광양정비센터,종합블루핸즈,전남광주통합특별시 광양시 광양읍 해광로 888,061761 2222,127.582003,34.963653,N,N
M1Z018,(주)구미현대서비스,종합블루핸즈,경상북도 구미시 비산로 45 (비산동),054 4643300,36.120194,128.376718,N,Y
B1M011,(주)구산점,전문블루핸즈,서울특별시 은평구 서오릉로 239 (구산동), 02 3638204,126.907697,37.615911,N,N
B2M005,(주)궁내점,전문블루핸즈,경기도 성남시 분당구 대왕판교로 301 (궁내동),031 7126073,127.101314,37.370736,N,N
I1M005,(주)금흥점,전문블루핸즈,충청남도 공주시 한적2길 52-7(금흥동),041 8553308,127.140447,36.479097,N,N
Z21Z41,(주)김포카독크,종합블루핸즈,경기도 김포시 조리미로 17 (사우동),031 9834891,126.724014,37.615164,N,N
D1Z006,(주)남동서비스,종합블루핸즈,인천광역시 남동구 논현고잔로88번길 16(고잔동),032 4462215,37.390595,126.713151,Y,Y
I1Z007,(주)남부현대서비스,종합블루핸즈,충청남도 서산시 남부순환로 20-8 (수석동),041 6681188,36.75368,126.494351,Y,N
S2Z009,(주)남진주현대서비스,종합블루핸즈,경상남도 진주시 정촌면 연꽃로 60 .,055 7625000,35.117611,128.098292,N,Y
Z21Z38,(주)네바퀴사랑,종합블루핸즈,인천광역시 서구 방축로 335 (가좌동),032 5840180,37.474486,126.680663,Y,N
D1M009,(주)논현점,전문블루핸즈,인천광역시 남동구 은봉로312번길 29-2 (논현동),032 4412350,37.404377,126.72512,N,Y
M1Z015,(주)달성현대서비스,종합블루핸즈,대구광역시 달성군 논공읍 비슬로350길 4-5,053 6363100,35.771252,128.416882,N,N
Z1Z010,(주)대광현대서비스,종합블루핸즈,경기도 여주시 가남읍 여주남로 755 1층,031 8811079,127.574878,37.23415,N,N
M1Z019,(주)동김천현대서비스,종합블루핸즈,경상북도 김천시 혁신로 316-17,054 4347757,36.128869,128.182755,Y,N
B2Z010,(주)동부현대모터스,종합블루핸즈,경기도 광주시 중앙로 21 (쌍령동),031 7648181,37.406042,127.265683,Y,N
I1Z005,(주)동부현대서비스,종합블루핸즈,충청남도 천안시 동남구 목천읍 신계2길 12-11,041 5221110,36.770398,127.20248,Y,N
B1M001,(주)동빙고점,전문블루핸즈,서울특별시 용산구 서빙고로 303 ( 동빙고동), 02 7920300,126.99705,37.521503,N,N
I1Z014,(주)동양모터스,종합블루핸즈,충청남도 당진시 송악읍 대섬길 228,041 3576811,126.747486,36.975717,N,N
P03DH1,(주)범어점,전문블루핸즈,경상남도 양산시 물금읍 서남3길 11,055385 3377,129.000758,35.327206,N,N
