지역,센터명,주소,전화번호,이메일,홈페이지,위도,경도
서울,아우디 서비스 개포,서울시 강남구 논현로 18길 9,02-573-1463,webmaster@teianmotors.com,https://www.teianmotors.com/,37.4779938893548,127.045562087726
서울,아우디 서비스 김포공항,서울 강서구 하늘길 38 롯데몰 김포공항점 P1,02-6407-3240,info@bayernauto.kr,https://www.bayernauto.kr/main,37.5713695798026,126.802960133589
서울,아우디 서비스 남산,서울 중구 동호로 211,02-798-1468,ejh8471@teianmotors.com,https://www.teianmotors.com/,37.5567173410586,127.008824163367
서울,아우디 서비스 동대문,서울특별시 동대문구 천호대로 445,02-3425-0033,gojin@gojin.com,https://www.gojin.com/,37.5612938339709,127.068572111828
서울,아우디 서비스 송파대로,서울특별시 송파구 충민로 2길 8,02-2185-0200,autorium@kcc.co.kr,https://www.kccautorium.com/,37.479004668011,127.126637792374
서울,아우디 서비스 석촌,서울특별시 송파구 삼학사로 26,02-424-1463,ejh8471@teianmotors.com,https://www.teianmotors.com/,37.4995122068782,127.097058297872
인천/경기,아우디 서비스 강동,경기도 하남시 미사강변중앙로 33,031-793-0200,autorium@kcc.co.kr,https://www.kccautorium.com/,37.55022172138,127.192594500041
인천/경기,아우디 서비스 동탄,경기도 화성시 동탄순환대로 763,031-5183-3000,audi@webonmotors.com,https://webonmotors.co.kr/,37.2089948528018,127.104225565369
인천/경기,아우디 서비스 분당,경기도 성남시 분당구 새마을로 31,031-715-8255,audi@webonmotors.com,https://webonmotors.co.kr/,37.3838767753054,127.134290108797
인천/경기,아우디 서비스 서수원,경기도 수원시 권선구 권선로 308-5 지하1층 아우디 서비스센터,031-8067-7119,info@bayernauto.kr,https://www.bayernauto.kr/main,37.2580678394296,126.987838793071
인천/경기,아우디 서비스 수원,경기도 용인시 기흥구 중부대로 194,031-634-0033,gojin@gojin.com,https://www.gojin.com/,37.2710423322929,127.08880166098
인천/경기,아우디 서비스 안양,경기도 안양시 동안구 벌말로 87,031-5183-3030,audi@webonmotors.com,https://webonmotors.co.kr/,37.3962896773654,126.968466677014
인천/경기,아우디 서비스 인천,인천광역시 남동구 논현고잔로 128번길 66,032-433-1463,webmaster@teianmotors.com,https://www.teianmotors.com/,37.3919959132487,126.714726515704
인천/경기,아우디 서비스 일산,경기도 고양시 일산서구 송파로 131,031-905-1463,webmaster@teianmotors.com,https://www.teianmotors.com/,37.6951647918892,126.713474298208
충청/대전,아우디 서비스 대전,대전광역시 대덕구 신탄진로 341,042-862-8802,gojin@gojin.com,https://www.gojin.com/,36.4104183634094,127.424452414989
충청/대전,아우디 서비스 천안,충청남도 천안시 서북구 쌍용대로 245 (충청남도 천안시 서북구 성정동 932),041-563-5900,gojin@gojin.com,https://www.gojin.com/,36.8193138197892,127.135323209177
충청/대전,아우디 서비스 청주,충북 청주시 서원구 남이면 2순환로 1675,043-285-8802,gojin@gojin.com,https://www.gojin.com/,36.5993546629494,127.465238847445
전북/전주,아우디 서비스 전주,전라북도 완주군 콩쥐팥쥐로 964,063-290-0000,joongsan@jsautogroup.co.kr,https://jjsmotors.co.kr/,35.8197213875259,127.005183778067
전남/광주,아우디 서비스 광주,광주광역시 남구 송암로 24번가길 18,062-524-5959,gojin@gojin.com,https://www.gojin.com/,35.1101137826891,126.87989960808
전남/광주,아우디 서비스 목포,전라남도 목포시 옥암동 1091-16,061-803-1677,gojin@gojin.com,https://www.gojin.com/,34.8006370002328,126.434561535404
전남/광주,아우디 서비스 순천,전라남도 순천시 왕지5길 4,061-724-3500,gojin@gojin.com,https://www.gojin.com/,34.9718891050483,127.522658078349
경북/대구,아우디 서비스 대구,"대구광역시 서구 서대구로 63길, 5",053-355-2000,audi@ironauto.net,https://www.ironauto.net/,35.8862374602932,128.556698221116
경북/대구,아우디 서비스 서대구,대구광역시 달서구 와룡로 170,053-780-0200,autorium@kcc.co.kr,https://www.kccautorium.com/,35.847803933764,128.537629312687
경북/대구,아우디 서비스 수성,대구광역시 수성구 들안로 185,053-761-5000,audi@ironauto.net,https://www.ironauto.net/,35.8465231838855,128.616246483128
부산,아우디 서비스 금정,부산시 금정구 중앙대로 1661,051-512-0008,audi@ironauto.net,https://www.ironauto.net/,35.2326292000518,129.09116343495
부산,아우디 서비스 민락,부산광역시 수영구 무학로 60,051-759-4900,audi@ironauto.net,https://www.ironauto.net/,35.160865779695,129.120411397028
경남/울산,아우디 서비스 양산,경상남도 양산시 양산대로 1222,055-375-7400,audi@ironauto.net,https://www.ironauto.net/,35.3779178897399,129.047908386079
경남/울산,아우디 서비스 울산,울산광역시 남구 돋질로 356,052-268-3003,audi@ironauto.net,https://www.ironauto.net/,35.5433923723161,129.343775616087
경남/울산,아우디 서비스 진주,경남 진주시 천수로 294-1 (신안동),055-746-5500,audi@ironauto.net,https://www.ironauto.net/,35.1853150174336,128.074034575708
경남/울산,아우디 서비스 창원,경상남도 창원시 마산합포구 서성로 11,055-241-2200,audi@ironauto.net,https://www.ironauto.net/,35.1984986967346,128.570153616405
강원/원주,아우디 서비스 원주,강원도 원주시 치악로 1221-7,033-764-8787,,https://www.hanseomotors.co.kr/,37.2983215545259,127.983822530944
제주,아우디 서비스 제주,제주특별자치도 제주시 원남2길 7,064-725-5000,audi@ironauto.net,https://www.ironauto.net/,33.4866839089212,126.52278298049
