페이지,제목,내용,작성자,등록일,조회수
1,BYD·벤츠 등 자발적 시정조치(리콜),"국토교통부(장관 김윤덕)는 비와이디코리아(유), 메르세데스벤츠코리아㈜, 스텔란티스코리아㈜, ㈜재규어랜드로버코리아, 현대자동차㈜, ㈜볼보자동차코리아에서 제작·수입·판매한 38개 차종 146,505대에서 제작 결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (BYD) SEALION 7 등 6개 차종 18,091대는 좌석 안전띠 미착용 경고가 다른 알림이 뜨는 경우 가려져 보이지 않는 현상이 발생하여 안전기준 부적합으로 6월 19일부터 시정조치를 진행하고 있다. ② (벤츠) C 300 4MATIC 2,113대는 운전대 전자장치* 제어 회로의 내구성 부족으로 인해 경음기 및 운전대 버튼 등이 작동하지 않을 가능성으로 6월 26일부터 시정조치를 진행하고 있다. * 통화 장치, 미디어 음량 조절 장치 및 운전자 보조 시스템 등 ③ (스텔란티스) 300C 1,731대는 고압 연료펌프* 부속품 내구성 부족으로 인해 주행 중 시동이 꺼질 가능성으로 6월 26일부터 시정조치를 진행하고 있다. * 엔진에 연료를 공급하는 장치 ④ (랜드로버) 디펜더 110 D240 등 21개 차종 14,373대는 운전대 에어백 연결장치의 내구성 부족으로 인해 에어백 경고등이 점등되고, 충돌 시 에어백이 작동하지 않을 가능성으로 7월 3일부터 시정조치에 들어간다. ⑤ (현대) 투싼 등 2개 차종 54,792대는 계기판 제어 소프트웨어 오류로 인해 계기판 깜빡임 또는 꺼짐이 발생하는 안전기준 부적합으로 7월 6일부터 시정조치에 들어간다. ⑥ (볼보) XC60 등 7개 차종 55,405대는 48V 발전기* 부속품 내구성 부족으로 인해 12V 배터리 및 엔진의 경고등이 점등되고, 스타트스탑** 기능 사용 시 재시동이 되지 않을 가능성으로, * 전기를 생산하고 자동차의 구동을 도와주는 장치 ** 연비 개선 및 배출가스 감소를 위해 정차 시 자동으로 시동을 끄고, 출발 시 시동을 걸어주는 기능 - XC60 등 6개 차종 44,381대는 7월 13일부터 시정조치에 들어가며, 부품 규격이 다른 XC40 11,024대는 해당 부품을 수급하는 대로 시정조치에 들어갈 예정이다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 또는 차대번호를 입력하고 확인할 수 있다.",김동규,2026-07-02,167
1,케이지모빌리티·기아 등 자발적 시정조치(리콜),"국토교통부(장관 김윤덕)는 케이지모빌리티㈜, 기아㈜, 한국토요타자동차㈜, 현대자동차㈜ 에서 제작·수입·판매한 17개 차종 532,144대에서 제작 결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (케이지모빌리티) 토레스 등 6개 차종 51,535대는 메모리 과부하로 인해 계기판 디스플레이가 멈추거나 꺼질 가능성으로 4월 20일부터 시정조치를 진행하고 있고, 토레스 EVX 등 2개 차종 18,533대는 소프트웨어 설계 미흡으로 후방추돌경고등 점멸 주기를 만족하지 않는 안전기준 부적합으로 4월 20일부터 시정조치를 진행하고 있다. ② (기아) 레이 220,059대는 엔진제어장치 소프트웨어 설계 미흡으로 주행 중 시동꺼짐이 발생할 가능성으로 4월 28일부터 시정조치에 들어간다. ③ (토요타) 프리우스 2WD 등 3개 차종 2,132대는 뒷문 외부핸들 회로 설계 미흡으로 주행 중 뒷문이 열릴 가능성으로 4월 23일부터 시정조치에 들어간다. ④ (현대) 싼타페 등 4개 차종 239,683대는 1열 좌석 안전띠 고정 장치 설계 미흡으로 충돌사고 시 승객을 정상적으로 보호하지 못할 가능성으로 6월 4일*부터 시정조치에 들어가고, * 글로벌 리콜(美, 아이오닉6 등 4개 차종 29만 4천대)과 동일한 리콜이며, 보강 부품을 조속히 생산하여 리콜 시정 개시 예정 - 일렉시티 이층버스 202대는 차체 설계 미흡에 따른 중문 상단부 차체 구조물 균열로 안전에 지장을 줄 가능성으로 4월 20일부터 시정조치를 진행하고 있다.□ 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 또는 차대번호를 입력하고 확인할 수 있다.",김동규,2026-04-22,991
1,현대 팰리세이드 전동시트 관련 결함 등에 대한 자발적 시정조치(리콜),"국토교통부(장관 김윤덕)는 현대자동차㈜, 기아㈜, 케이지모빌리티㈜, 비엠더블유코리아㈜에서 제작·수입·판매한 24개 차종 408,942대에서 제작 결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다.□ 우선, 최근 발생한 전동시트 관련 사고와 관련하여 현대자동차㈜는 팰리세이드 등 2개 차종 57,987대의 2열, 3열 전동시트 제어기 소프트웨어 설계 미흡으로 인해 탑승자나 사물과의 접촉을 감지하지 못해 안전에 지장을 줄 가능성으로 3월 20일부터 OTA*를 통한 시정조치를 진행하고 있다. * OTA(Over-The-Air) : 서비스 방문없이 무선 통신망을 통해 소프트웨어의 성능 개선하는 방식 ㅇ 금번 리콜에 따라 전동시트가 접히는 기능의 해제를 보다 쉽게하고, 기능 작동 시 접촉 감지 구간을 확대하는 등의 개선이 이루어지며, 주요 개선사항은 아래와 같다. ① 한 번의 스위치 조작으로 전동시트 작동 해제(기존 : 엔진 재시동 후 스위치 조작) ② 시트 자동 접힘은 테일게이트가 열렸을 때만 작동(기존 : 상시 작동) ③ 시트 조작(접힘 · 펼침) 시 승객·물체가 닿으면 반응하는 구간 확대 등ㅇ 또한, 추가적인 안전성 강화를 위한 전동시트 작동 방법 개선도 검토 중이다. - 개선 사항이 확정되면, 추가 리콜이 진행(4월중) 될 계획이며, 국토부는 리콜 과정, 보완 여부 등을 지속적으로 모니터링할 예정이다.□ 이 밖에도 4개 제작사 24개 차종에서 제작 결함이 발견되어 시정조치를 진행한다. ① (기아) 카니발 201,841대는 저압연료라인 설계 미흡으로 인해 연료가 누유되어 주행중 시동꺼짐 및 화재가 발생할 가능성으로 3월 25일부터 시정조치에 들어간다. ② (현대) 팰리세이드 등 2개 차종 41,143대는 3열 좌측 안전띠 버클 배선 설계 미흡으로 안전띠가 체결되지 않아도 경고장치가 작동하지 않는 안전기준 부적합으로 4월 10일부터 시정조치에 들어간다. ③ (케이지모빌리티) 토레스 등 3개 차종 78,293대는 냉각팬 저항 코일의 열적 부하 및 과열로 화재 발생 가능성으로 3월 16일부터 시정조치를 진행하고 있다. ④ (비엠더블유) BMW 520i 등 18개 차종 29,678대는 에어컨 배선 설계 미흡으로 에어컨 필터 교체 과정에서 배선이 손상되어 단락이 발생할 경우 이로 인한 화재 발생 가능성으로 3월 24일부터 시정조치에 들어간다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 또는 차대번호를 입력하고 확인할 수 있다.",김동규,2026-03-24,586
1,현대·기아 등 자발적 시정조치(리콜),"국토교통부(장관 김윤덕)는 현대자동차㈜, 기아㈜, 비엠더블유코리아㈜에서 제작·수입·판매한 37개 차종 107,158대에서 제작 결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (현대) 코나 전기차 등 4개 차종 37,690대는 배터리관리시스템 소프트웨어 설계 미흡으로 고전압배터리 문제 발생 시 사전에 감지하지 못해 고전압배터리에서 화재가 발생할 가능성으로 2월 27일부터 시정조치에 들어간다. ② (기아) 니로 전기차 1,590대는 배터리관리시스템 소프트웨어 설계 미흡으로 고전압배터리 문제 발생 시 사전에 감지하지 못해 고전압배터리에서 화재가 발생할 가능성으로 2월 27일부터 시정조치에 들어간다. ③ (비엠더블유) 520i 등 32개 차종 67,878대는 스타터 모터 내부 부품 단락으로 인한 화재 발생 가능성으로 3월 4일부터 시정조치에 들어간다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 또는 차대번호를 입력하고 확인할 수 있다.",김동규,2026-02-27,789
2,현대·기아 등 자발적 시정조치(리콜),"국토교통부(장관 김윤덕)는 현대자동차㈜, 기아㈜, 비엠더블유코리아㈜에서 제작·수입·판매한 51개 차종 179,880대에서 제작 결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (현대) 포터Ⅱ 일렉트릭 36,603대는 전동식 진공펌프 소프트웨어 오류로 인한 진공펌프 작동 불량으로 제동 성능이 저하될 가능성으로 2월 12일부터 시정조치에 들어가고, 그랜저 등 20차종 39,148대는 계기판 제어 소프트웨어 오류로 인해 계기판 꺼짐이 발생하는 안전기준 부적합으로 2월 11일부터 시정조치를 진행한다. ② (기아) 봉고Ⅲ EV 25,078대는 전동식 진공펌프 소프트웨어 오류로 인한 진공펌프 작동 불량으로 제동 성능이 저하될 가능성으로 2월 24일부터 시정조치에 들어가고, K8 등 16차종 69,137대는 계기판 제어 소프트웨어 오류로 인해 계기판 꺼짐이 발생하는 안전기준 부적합으로 2월 11일부터 시정조치를 진행한다. ③ (비엠더블유) i5 eDrive40 등 13개 차종 9,914대는 에어컨 컴프레셔 제어장치 소프트웨어 오류로 인해 고전압시스템이 차단되어 시동이 꺼질 가능성으로 2월 4일부터 시정조치를 진행하고 있다. □ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 또는 차대번호를 입력하고 확인할 수 있다.",김동규,2026-02-11,751
2,볼보·GS글로벌 등 자발적 시정조치(리콜),"국토교통부(장관 김윤덕)는 ㈜볼보자동차코리아, ㈜GS글로벌, ㈜재규어랜드로버코리아, 포드세일즈서비스코리아(유)에서 수입·판매한 11개 차종 55,178대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (볼보) XC60 등 7개 차종 50,434대는 비상자동제동장치 센서의 한계로 의도치 않은 자동 긴급 제동이 발생할 가능성으로 1월 26일부터 시정조치를 진행하고 있다. ② (GS글로벌) T4K 1,692대는 차량 제어장치 소프트웨어 오류로 인해 주차(P)단으로 변속 시 전자식 주차브레이크가 작동하지 않을 가능성으로 1월 29일부터 시정조치를 진행한다. ③ (재규어랜드로버) 레인지로버 이보크 1,416대는 조수석 에어백 조립 불량으로 인해 에어백 전개 시 에어백이 손상되어 탑승자가 상해를 입을 가능성으로 1월 23일부터 시정조치를 진행하고 있다. ? (포드) 머스탱 1,489대는 차체 제어장치 수분 유입으로 차폭등, 후미등 및 번호등이 정상 작동되지 않는 안전기준 부적합으로 1월 26일부터 시정조치를 진행하고 있고, 익스페디션 147대는 후방 카메라 내구성 부족으로 인해 후방 카메라가 정상 작동하지 않을 가능성으로 1월 26일부터 시정조치를 진행하고 있다. □ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 또는 차대번호를 입력하고 확인할 수 있다.",김동규,2026-02-10,211
2,현대·기아 등 자발적 시정조치(리콜),"국토교통부(장관 김윤덕)는 현대자동차㈜, 기아㈜, 메르세데스-벤츠코리아㈜, 포르쉐코리아㈜에서 제작·수입·판매한 74개 차종 344,073대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (현대) 현대자동차 아반떼 등 2개 차종 130,283대는 무단변속기 부품 내부로 이물질이 유입되어 구동력이 전달되지 않을 가능성으로 1월 19일부터 시정조치를 진행한다. ② (기아) 기아 K3 113,793대, 무단변속기 부품 내부로 이물질이 유입되어 구동력이 전달되지 않을 가능성으로 1월 15일부터 시정조치를 진행하고, 스포티지 등 2개 차종 3,895대는 바디 제어장치 소프트웨어 설계 오류로 인해 주차거리경고 기능이 작동하지 않는 안전기준 부적합으로 1월 14일부터 시정조치를 진행한다. ③ (벤츠) 벤츠 E200 등 24개 차종 56,208대는 인포테인멘트 제어장치 소프트웨어 오류로 인해 운행중 계기판이 꺼질 가능성으로 1월 12일부터 시정조치를 진행하고 있다. ④ (포르쉐) 포르쉐 카이엔 등 45개 차종 39,894대는 차량의 전자기 간섭으로 인해 서라운드 뷰 카메라가 작동하지 않을 가능성으로 1월 26일부터 시정조치를 진행할 예정이다. □ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",김동규,2026-02-10,462
2,현대·기아 등 자발적 시정조치(리콜),"국토교통부(장관 김윤덕)는 현대자동차㈜, 기아㈜, 르노코리아㈜, 포드세일즈서비스코리아㈜, 볼보트럭코리아㈜에서 제작·수입·판매한 8개 차종 107,747대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (현대) 포터2 60,934대는 엔진 구동벨트* 장력 조절장치의 설계 오류로 인해 구동벨트가 이탈되어 조향장치가 정상 작동하지 않을 가능성으로 9월 25일부터 시정조치에 들어간다. * 엔진의 동력을 전달하여 조향장치 등 다른 장치의 작동을 도와주는 부품 ② (기아) 봉고3 33,990대는 엔진 구동벨트 장력 조절장치의 설계 오류로 인해 구동벨트가 이탈되어 조향장치의 정상 작동하지 않을 가능성으로 9월 25일부터 시정조치에 들어간다. ③ (르노) XM3 등 2개 차종 8,562대는 연료공급 펌프 소프트웨어 오류로 인해 주행 중 시동이 꺼질 가능성으로 9월 25일부터 시정조치에 들어간다. ④ (포드) MKX 2,680대는 후방 보조제동등 커버 접착 불량으로 인해 주행 중 커버가 분리될 가능성으로 9월 30일부터 시정조치에 들어간다. ⑤ (볼보) FH트랙터 등 3개 차종 1,581대는 가변축* 제어 소프트웨어 오류로 인해 가변축 조종장치가 오작동하는 기준 부적합으로 9월 19일부터 시정조치를 진행하고 있다. * 적재물 하중 증가 시, 차량 하중을 고르게 배분하기 위해 상하로 움직이는 차축□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",김동규,2025-12-16,1082
3,현대·케이지모빌리티 등 자발적 시정조치(리콜),"국토교통부(장관 김윤덕)는 현대자동차㈜, 케이지모빌리티㈜, 스텔란티스코리아㈜에서 제작·수입·판매한 4개 차종 42,388대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (현대) 아이오닉6 24,705대는 충전도어 커버 설계 미흡으로 인해 주행 중 커버가 이탈될 가능성으로 10월 24일부터 시정조치에 들어가고, GV60 10,617대는 앞 창유리 상단부 몰딩* 제조 불량으로 인해 주행 중 몰딩이 이탈될 가능성으로 10월 22일부터 시정조치에 들어간다. * 자동차 외관의 미관 향상 및 손상 방지를 위한 띠 모양의 부품 ② (케이지모빌리티) 무쏘EV 6,580대는 고전압 시스템 제어장치* 설계 오류로 인해 주행 중 시동이 꺼질 가능성으로 10월 15일부터 시정조치를 진행하고 있다. * 고전압을 사용하는 부품들의 상태를 확인하고, 안전한 상태로 유지해주는 장치 ③ (스텔란티스) 짚그랜드체로키(하이브리드) 486대는 전기구동 제어장치* 설계 오류로 인해 주행 중 구동력을 상실할 가능성으로 10월 15일부터 시정조치를 진행하고 있다. * 자동차의 모터 구동, 고전압배터리 상태 등을 제어하는 장치 □ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",김동규,2025-12-16,336
3,현대·포드 등 자발적 시정조치(리콜),"국토교통부(장관 김윤덕)는 현대자동차㈜, 포드세일즈서비스코리아㈜, 디앤에이모터스㈜, 메르세데스-벤츠코리아㈜, 스텔란티스코리아㈜에서 제작·수입·판매한 16개 차종 40,380대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (현대) 팰리세이드 등 2개 차종 27,656대는 보닛 잠금장치 강건성 부족으로 9월 16일부터 시정조치에 들어간다. ② (포드) 익스플로러 등 2개 차종 5,984대는 안전벨트 버클 고정 볼트 조립 불량으로 9월 5일부터 시정조치를 진행하고 있다. ③ (디앤에이모터스) UHR125 5,512대는 동력장치 내 교류발전기 홀센서* 제조 불량으로 9월 10일부터 시정조치에 들어간다. * 엔진의 크랭크샤프트 회전 위치 정보를 엔진제어장치(ECU)에 전달하는 장치 ④ (벤츠) GLC 300 4MATIC 등 10개 차종 904대는 조향장치 부품 체결 불량으로 9월 12일부터 시정조치에 들어간다. ⑤ (스텔란티스) 짚랭글러 차종 324대는 원격 시동 안테나* 케이블 조립 불량으로 9월 5일부터 시정조치를 진행하고 있다. * 원격 시동, 타이어 압력 모니터링 등 여러 무선 신호를 전달하는 장치 □ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2025-12-15,303
